"id","name_en","name_fr","map_url","website","address1","address2","zip_code","country","state","city"
"144","Cinéma l'Amour","Cinéma l'Amour","https://www.google.ca/maps/place/Cin%C3%A9ma+L'amour/@45.5169443,-73.5790988,15z/data=!4m2!3m1!1s0x0:0xc6fb3bb655919fbd?sa=X&ved=2ahUKEwic5NaK97rdAhWFzVkKHVmUBMcQ_BIwE3oECAoQCw","https://www.cinemalamour.com/english/ie/","4015 Boulevard Saint-Laurent","","H2W 1Y4","Canada","QC","Montreal"
"145","Cinéma Moderne","Cinéma Moderne","https://www.google.ca/maps/place/Cin%C3%A9ma+Moderne/@45.5234191,-73.5938872,15z/data=!4m2!3m1!1s0x0:0xb031bed3dac1b7a6?sa=X&ved=2ahUKEwjxzbbnr7vdAhVxxFkKHTWICg0Q_BIwCnoECAoQCw","https://www.cinemamoderne.com/","5150 St Laurent Blvd","","H2T 1R8","Canada","QC","Montreal"
"77","Cinquième Salle","Cinquième Salle","https://www.google.ca/maps/place/Place+des+Arts/@45.5083198,-73.5664312,15z/data=!4m5!3m4!1s0x0:0x586dc216d8c34686!8m2!3d45.5083198!4d-73.5664312","http://placedesarts.com/rooms/main-rooms/cinquieme-salle.en.html","175 Rue Sainte-Catherine O.","","H2X 1Y9","Canada","Quebec","Montréal"
"25","Club Lambi","Club Lambi","https://maps.google.ca/maps?ie=UTF-8&q=Club+Lambi&fb=1&gl=ca&hq=club+lambi&cid=3423075914293915790&ei=vQPgUqWLLeur2AWD3oHYAQ&ved=0CL0BEPwSMBE","https://www.facebook.com/clublambi‎","4465 St-Laurent","","H2W 1Z8","Canada","Quebec","Montréal"
"22","Club Soda","Club Soda","https://maps.google.ca/maps?f=q&source=embed&hl=en&geocode;=&q=1225+st-laurent+montreal&sll=49.891235,-97.15369&sspn=46.07776,109.335938&ie=UTF8&hq;=&hnear=1225+Boulevard+Saint-Laurent,+Montreal,+Communauté-Urbaine-de-Montréal,+Quebec&z=16&ll=45.509491,-73","http://www.clubsoda.ca","1225 St-Laurent","","H2X 2S6","Canada","Quebec","Montréal"
"137","Concordia University - DB Clarke Theatre","Université Concordia - Théâtre DB Clarke","https://www.google.ca/maps/place/DB+Clarke+Theatre/@45.4973223,-73.5790288,15z/data=!4m2!3m1!1s0x0:0xa753f90cc2ee3da7?sa=X&ved=2ahUKEwjN4Mrzg7HdAhVs4YMKHXY2CIgQ_BIwD3oECAoQCw","https://www.concordia.ca/arts/venues/db-clarke-theatre.html","1455 Boulevard de Maisonneuve West,, Boulevard de Maisonneuve O","","H3G1M8","Canada","QC","Montreal"
"101","Crobar","Crobar","https://www.google.ca/maps/place/1221+Crobar/@45.49681,-73.574574,15z/data=!4m2!3m1!1s0x0:0xae768f7ed6488f63?sa=X&ved=0ahUKEwjTopay8PvaAhVHhuAKHRYtCeQQ_BIIlAEwDw","https://www.facebook.com/crobar1221/","1221 Crescent","","H3G 2B1","Canada","Quebec","Montreal"
"59","Cunard Centre","Centre Cunard","https://www.google.ca/maps/place/Cunard+Centre/@44.6374341,-63.565709,17z/data=!3m1!5s0x4b5a224f2ac3058b:0x66e96b142eaef450!4m7!1m4!3m3!1s0x4b5a22493bb61093:0x75693ab36aa2a5b7!2s961+Marginal+Rd,+Halifax,+NS+B3H+4N4!3b1!3m1!1s0x0000000000000000:0x94842d2d25","http://www.rcr.ca/catering/venues/cunard-centre/","961 Rue Marginal","","B3H 4P6","Canada","Nova Scotia","Halifax"
"6","Divan Orange","Divan Orange","https://maps.google.ca/maps?q=divan+orange&hl=en&sll=45.520492,-73.598517&sspn=0.002244,0.004517&t=h&hq=divan+orange&z=15","http://www.divanorange.org","4234 St-Laurent","","H2W 1Z3","Canada","Quebec","Montréal"
"139","Eastern Bloc","Eastern Bloc","https://www.google.ca/maps/place/Eastern+Bloc/@45.5343858,-73.6198242,15z/data=!4m2!3m1!1s0x0:0xd2ad85e25dd901f5?sa=X&ved=2ahUKEwiD1czJ0bHdAhVpT98KHdwrA2MQ_BIwE3oECAgQCw","https://easternbloc.ca/","7240 Clark St","","H2R 2Y3","Canada","QC","Montreal"
